feature,importance for grade
grade_10,39.67492712886448
course,10.211883135416745
grade_prev,5.971150585725699
absence_status,5.01095171410662
std_deviation_prev,4.444088353544619
avg_grade_prev,4.3434546290001
exam_type,3.943375496939853
difficulty_prev,3.834440270078888
discipline,3.501772668901685
std_deviation,3.3704984388870334
difficulty_avg_score,2.651545595695382
place_type,2.49394618820285
students_responsed_ratio,2.337238927341105
program,1.5192498768171678
max_prev,1.3761195877167507
exam_type_prev,1.2110140163545104
module,1.132250598132831
min_prev,1.0962500929174326
students_responsed_ratio_prev,1.0271103745798262
academic_year,0.7957974718825936
education_level,0.05293484889378396
