iter	MAE
0	1.731132941
1	1.566692593
2	1.489200055
3	1.413117405
4	1.34158523
5	1.309529395
6	1.299568957
7	1.289126929
8	1.276110569
9	1.26906152
10	1.253671733
11	1.247986119
12	1.241074083
13	1.234851271
14	1.232606825
15	1.230177364
16	1.227277512
17	1.224898487
18	1.219407994
19	1.217639543
20	1.217126168
21	1.214110246
22	1.211994869
23	1.211478531
24	1.211119288
25	1.209899707
26	1.20709205
27	1.205245154
28	1.20279579
29	1.200824513
30	1.197559643
31	1.196907831
32	1.19481067
33	1.194027963
34	1.193108852
35	1.191010081
36	1.190630225
37	1.188557439
38	1.186452146
39	1.184942494
40	1.183692489
41	1.181795985
42	1.181080271
43	1.180627228
44	1.178428468
45	1.177055585
46	1.176442667
47	1.175249633
48	1.173284134
49	1.173241499
50	1.172359081
51	1.170823416
52	1.16858386
53	1.167219284
54	1.166324175
55	1.164755613
56	1.164463304
57	1.164282043
58	1.163611486
59	1.163270537
60	1.161146124
61	1.158293087
62	1.156465291
63	1.155428705
64	1.154782088
65	1.15318462
66	1.152981209
67	1.151254006
68	1.150390566
69	1.148145708
70	1.147265898
71	1.147129984
72	1.145425269
73	1.14509722
74	1.144325935
75	1.143112561
76	1.142276058
77	1.142242981
78	1.141856442
79	1.141278976
80	1.140945991
81	1.140023951
82	1.1399149
83	1.139425096
84	1.139354524
85	1.139140302
86	1.138593723
87	1.13813588
88	1.1360923
89	1.135313367
90	1.135191384
91	1.134842418
92	1.134498944
93	1.13446744
94	1.134425841
95	1.133715691
96	1.133494291
97	1.133335712
98	1.132517139
99	1.132080276
100	1.131589202
101	1.130471283
102	1.130241468
103	1.128451327
104	1.126346572
105	1.125552768
106	1.125530932
107	1.124879593
108	1.124879593
109	1.124610333
110	1.124059253
111	1.124026052
112	1.123985633
113	1.123633795
114	1.123300389
115	1.123067598
116	1.123031073
117	1.122880505
118	1.122116362
119	1.121964251
120	1.121720255
121	1.121493496
122	1.121024006
123	1.120719448
124	1.12064811
125	1.120630859
126	1.120360122
127	1.120314098
128	1.119933603
129	1.119613014
130	1.119389183
131	1.118971309
132	1.118845732
133	1.118133821
134	1.117741622
135	1.117277855
136	1.11672054
137	1.116130857
138	1.115599264
139	1.115575233
140	1.115495868
141	1.115429687
142	1.114798428
143	1.114624982
144	1.114408887
145	1.114345648
146	1.114240607
147	1.114207756
148	1.113710457
149	1.113543795
150	1.113239997
151	1.112963807
152	1.112853213
153	1.112629018
154	1.112528388
155	1.111849827
156	1.110431167
157	1.110080543
158	1.109930603
159	1.109682229
160	1.109063619
161	1.10852334
162	1.108114147
163	1.107676186
164	1.107358079
165	1.106858185
166	1.106759142
167	1.105962202
168	1.105827005
169	1.105640077
170	1.105472089
171	1.105440548
172	1.10540622
173	1.105352909
174	1.105262848
175	1.105217925
176	1.10449957
177	1.104171619
178	1.104118944
179	1.103939114
180	1.103900077
181	1.103891515
182	1.103603834
183	1.1028365
184	1.102711773
185	1.102350699
186	1.101569517
187	1.101373077
188	1.100667258
189	1.10020519
190	1.099831759
191	1.099545801
192	1.098807655
193	1.098750502
194	1.098629239
195	1.098306779
196	1.098113476
197	1.098106949
198	1.097844128
199	1.097790842
200	1.097456669
201	1.097075958
202	1.096995399
203	1.096873766
204	1.096670185
205	1.096403536
206	1.09628951
207	1.095935083
208	1.095766722
209	1.095610641
210	1.095240083
211	1.094667927
212	1.094567182
213	1.094350257
214	1.094146057
215	1.094110485
216	1.094037003
217	1.093714381
218	1.092734158
219	1.091653161
220	1.091556029
221	1.091429223
222	1.091242212
223	1.091113765
224	1.091091047
225	1.091011979
226	1.090954206
227	1.090880238
228	1.090559995
229	1.090412658
230	1.090236536
231	1.090193441
232	1.090126713
233	1.090043503
234	1.089629364
235	1.089501312
236	1.089321552
237	1.08925518
238	1.089228817
239	1.089202329
240	1.088740666
241	1.088710915
242	1.088512153
243	1.088334921
244	1.087669198
245	1.087145468
246	1.087065204
247	1.087012654
248	1.086790425
249	1.086269544
250	1.08598497
251	1.084383554
252	1.084209657
253	1.084099149
254	1.084069504
255	1.083919917
256	1.083862977
257	1.083131392
258	1.082859911
259	1.082322929
260	1.082257504
261	1.082049309
262	1.081945317
263	1.081683992
264	1.081644063
265	1.081144831
266	1.081142981
267	1.080902904
268	1.080765858
269	1.080642024
270	1.079827055
271	1.079627024
272	1.079619839
273	1.079379921
274	1.079315191
275	1.079158531
276	1.078597436
277	1.078586883
278	1.07846651
279	1.078259758
280	1.077994791
281	1.077807046
282	1.0777814
283	1.077536038
284	1.077485962
285	1.077044788
286	1.076699063
287	1.076295659
288	1.075564658
289	1.075314886
290	1.075059613
291	1.075024731
292	1.074879256
293	1.074806618
294	1.074796619
295	1.074733604
296	1.074600771
297	1.074563193
298	1.074552255
299	1.074222756
300	1.073466045
301	1.073365835
302	1.073281454
303	1.072998052
304	1.072750814
305	1.072638131
306	1.072102717
307	1.072060637
308	1.071846783
309	1.071770897
310	1.071732769
311	1.071589468
312	1.071504901
313	1.071074795
314	1.070865242
315	1.070720625
316	1.070586699
317	1.070532958
318	1.07042155
319	1.070294993
320	1.069877399
321	1.069817148
322	1.069492636
323	1.069444887
324	1.069340786
325	1.069336042
326	1.068981775
327	1.068693557
328	1.068451164
329	1.068421882
330	1.068294087
331	1.068101409
332	1.068101409
333	1.068072815
334	1.067533625
335	1.067457128
336	1.067178015
337	1.067171202
338	1.067075069
339	1.067041178
340	1.066940426
341	1.066919617
342	1.066781341
343	1.066576002
344	1.066389642
345	1.066044537
346	1.06601524
347	1.065968554
348	1.065966778
349	1.065894018
350	1.065632138
351	1.065588484
352	1.065517905
353	1.065440981
354	1.064917807
355	1.06491229
356	1.06491229
357	1.064847839
358	1.064725507
359	1.064704138
360	1.064656851
361	1.064445675
362	1.06439021
363	1.064050435
364	1.063967651
365	1.063540188
366	1.063537059
367	1.063434311
368	1.06333559
369	1.063317443
370	1.063236762
371	1.063089551
372	1.062959139
373	1.062858425
374	1.062795609
375	1.062734055
376	1.062668429
377	1.062244149
378	1.062214977
379	1.062175107
380	1.062144835
381	1.061989351
382	1.061929137
383	1.061889464
384	1.06185696
385	1.061806254
386	1.061802913
387	1.061802434
388	1.061763071
389	1.061727849
390	1.06159533
391	1.06155568
392	1.061195311
393	1.061151344
394	1.061141649
395	1.060966876
396	1.060936333
397	1.060926398
398	1.060906178
399	1.060679777
400	1.060629176
401	1.060590083
402	1.060462705
403	1.060408668
404	1.060212286
405	1.060202594
406	1.060158394
407	1.059995497
408	1.059979046
409	1.059552047
410	1.059481117
411	1.059345655
412	1.059271249
413	1.059167734
414	1.059113283
415	1.058924869
416	1.058909233
417	1.058476651
418	1.058313398
419	1.057955251
420	1.057900915
421	1.057867824
422	1.057824675
423	1.05781331
424	1.057795822
425	1.057652612
426	1.057598221
427	1.057506306
428	1.057442268
429	1.057198308
430	1.057194459
431	1.057138971
432	1.057136753
433	1.057088409
434	1.057055919
435	1.057034525
436	1.056874925
437	1.056733407
438	1.056345624
439	1.056129467
440	1.056101956
441	1.055911723
442	1.055884998
443	1.055831396
444	1.055815134
445	1.05530475
446	1.055193414
447	1.055137854
448	1.055064986
449	1.055051592
450	1.054884636
451	1.054846682
452	1.054829899
453	1.054793792
454	1.054736028
455	1.054732126
456	1.054670246
457	1.054656208
458	1.054487199
459	1.054451618
460	1.054275846
461	1.054258917
462	1.054152046
463	1.053922287
464	1.053895239
465	1.053890584
466	1.053889952
467	1.05366713
468	1.053610161
469	1.053516803
470	1.053444561
471	1.053248173
472	1.053111751
473	1.053093718
474	1.053015394
475	1.053014927
476	1.053012036
477	1.052983342
478	1.0527965
479	1.052713057
480	1.052684539
481	1.05248255
482	1.052477147
483	1.052408664
484	1.052295079
485	1.052254766
486	1.052206778
487	1.051888667
488	1.051845498
489	1.051839447
490	1.05150529
491	1.051368632
492	1.051002167
493	1.050943192
