iter	Passed	Remaining
0	58	28691
1	59	14589
2	60	9861
3	61	7480
4	61	6033
5	62	5108
6	63	4449
7	64	3917
8	64	3502
9	65	3167
10	65	2893
11	66	2669
12	67	2481
13	67	2318
14	68	2174
15	68	2047
16	68	1935
17	69	1836
18	70	1751
19	71	1684
20	71	1608
21	71	1542
22	72	1481
23	72	1425
24	73	1374
25	73	1326
26	74	1287
27	74	1247
28	75	1208
29	76	1184
30	77	1150
31	77	1121
32	78	1091
33	78	1062
34	79	1037
35	79	1012
36	80	988
37	80	966
38	80	944
39	81	924
40	81	905
41	82	887
42	83	870
43	83	853
44	83	837
45	84	822
46	85	809
47	85	795
48	86	781
49	86	768
50	87	756
51	87	744
52	88	732
53	88	721
54	88	710
55	89	700
56	89	689
57	90	680
58	91	671
59	91	661
60	91	652
61	92	644
62	92	635
63	93	627
64	93	618
65	94	612
66	94	604
67	95	597
68	95	590
69	96	583
70	96	576
71	97	570
72	98	568
73	99	562
74	99	555
75	99	549
76	100	543
77	100	537
78	101	531
79	101	526
80	102	521
81	102	516
82	103	511
83	103	505
84	104	500
85	104	495
86	104	491
87	105	486
88	105	481
89	106	477
90	107	474
91	107	469
92	107	465
93	108	461
94	108	457
95	109	453
96	109	448
97	110	445
98	110	441
99	111	437
100	111	433
101	111	430
102	112	426
103	112	423
104	113	419
105	113	416
106	114	412
107	114	409
108	114	406
109	115	402
110	115	399
111	116	396
112	116	393
113	117	390
114	117	386
115	117	383
116	118	380
117	118	377
118	118	374
119	119	372
120	119	369
121	120	366
122	120	364
123	121	362
124	121	359
125	122	356
126	122	354
127	123	352
128	123	349
129	124	347
130	124	344
131	124	342
132	125	340
133	125	338
134	126	335
135	126	333
136	127	331
137	127	329
138	128	327
139	128	325
140	129	323
141	129	321
142	130	319
143	130	317
144	130	315
145	131	313
146	131	311
147	132	309
148	132	307
149	133	305
150	133	303
151	134	301
152	134	299
153	134	298
154	136	297
155	136	295
156	136	293
157	137	292
158	137	290
159	138	289
160	138	287
161	139	285
162	139	284
163	140	282
164	140	280
165	141	278
166	141	277
167	142	275
168	142	274
169	142	272
170	143	270
171	143	269
172	144	267
173	144	265
174	145	264
175	145	262
176	145	261
177	146	259
178	146	258
179	147	257
180	148	256
181	148	254
182	149	253
183	149	251
184	149	250
185	150	249
186	150	247
187	151	246
188	151	245
189	152	243
190	152	242
191	153	241
192	153	239
193	154	238
194	154	237
195	155	235
196	155	234
197	156	233
198	156	231
199	157	230
200	157	229
201	157	228
202	158	227
203	158	226
204	159	224
205	159	223
206	160	222
207	160	220
208	161	219
209	161	218
210	162	217
211	162	216
212	162	215
213	164	214
214	164	213
215	165	212
216	165	211
217	165	210
218	166	208
219	166	207
220	167	206
221	167	205
222	168	204
223	168	203
224	168	201
225	169	200
226	169	199
227	170	198
228	170	197
229	171	196
230	171	195
231	172	194
232	172	193
233	173	192
234	173	191
235	173	190
236	174	189
237	174	188
238	175	187
239	175	185
240	176	184
241	176	183
242	176	182
243	177	181
244	177	180
245	178	179
246	178	178
247	179	177
248	179	176
249	180	175
250	180	174
251	181	173
252	181	172
253	181	171
254	182	170
255	182	169
256	183	168
257	183	167
258	183	166
259	184	165
260	184	165
261	185	164
262	185	163
263	186	162
264	186	161
265	187	160
266	187	159
267	188	158
268	188	157
269	189	156
270	189	156
271	189	155
272	190	154
273	190	153
274	191	152
275	191	151
276	192	150
277	192	149
278	192	148
279	193	147
280	193	146
281	194	145
282	194	145
283	195	144
284	195	143
285	196	142
286	196	141
287	196	140
288	197	140
289	197	139
290	198	138
291	198	137
292	199	136
293	199	135
294	199	134
295	200	134
296	200	133
297	201	132
298	201	131
299	202	130
300	202	129
301	202	129
302	203	128
303	203	127
304	204	126
305	204	125
306	205	124
307	205	124
308	206	123
309	206	122
310	206	121
311	207	120
312	207	120
313	208	119
314	208	118
315	209	117
316	209	117
317	209	116
318	210	115
319	211	114
320	212	114
321	212	113
322	213	112
323	213	112
324	213	111
325	214	110
326	214	109
327	215	109
328	216	108
329	217	107
330	217	107
331	218	106
332	218	105
333	218	104
334	219	104
335	219	103
336	220	102
337	220	101
338	221	101
339	221	100
340	221	99
341	222	98
342	222	98
343	223	97
344	223	96
345	224	95
346	224	95
347	225	94
348	226	93
349	226	93
350	227	92
351	227	91
352	228	91
353	228	90
354	229	89
355	229	89
356	230	88
357	230	87
358	231	86
359	231	86
360	232	85
361	232	84
362	232	84
363	233	83
364	233	82
365	234	81
366	234	81
367	235	80
368	236	80
369	237	79
370	237	78
371	238	78
372	239	77
373	239	76
374	240	76
375	240	75
376	242	75
377	243	74
378	243	73
379	244	73
380	244	72
381	245	71
382	245	71
383	246	70
384	247	69
385	247	69
386	248	68
387	249	68
388	249	67
389	250	66
390	250	66
391	251	65
392	252	64
393	252	64
394	254	63
395	255	63
396	255	62
397	256	61
398	256	61
399	257	60
400	257	59
401	258	59
402	258	58
403	259	57
404	259	57
405	259	56
406	260	55
407	260	54
408	261	54
409	261	53
410	262	52
411	262	52
412	263	51
413	263	50
414	264	50
415	264	49
416	265	49
417	266	48
418	266	47
419	267	47
420	267	46
421	268	45
422	269	45
423	269	44
424	270	43
425	270	43
426	271	42
427	271	41
428	272	41
429	272	40
430	273	39
431	273	39
432	274	38
433	274	37
434	274	37
435	275	36
436	275	35
437	276	35
438	276	34
439	277	34
440	277	33
441	278	32
442	278	32
443	279	31
444	280	30
445	280	30
446	280	29
447	281	28
448	281	28
449	282	27
450	282	26
451	283	26
452	283	25
453	284	25
454	285	24
455	286	23
456	286	23
457	287	22
458	287	21
459	288	21
460	288	20
461	289	20
462	289	19
463	289	18
464	290	18
465	290	17
466	291	16
467	291	16
468	292	15
469	293	14
470	294	14
471	294	13
472	295	13
473	295	12
474	295	11
475	296	11
476	296	10
477	297	9
478	297	9
479	298	8
480	299	8
481	299	7
482	301	6
483	301	6
484	302	5
485	303	4
486	303	4
487	304	3
488	305	3
489	305	2
490	306	1
491	306	1
492	306	0
493	307	0
